io_19_31_1=cs_n io_17_31_0=start io_16_31_0=enc_dec io_13_31_1=rst_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=42500000 post=84a00000
io_19_31_1=cs_n io_17_31_0=start io_16_31_0=enc_dec io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=40000000 post=80000000
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=mosi io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=start io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=mosi io_13_31_1=rst_n io_18_31_1=start | RB pre=2ce1ace1 post=59c359c3 | CR pre=e1ace1ff post=c359c3ff
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=mosi io_13_31_1=start io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=start io_13_31_1=rst_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000020 post=00000040
io_19_31_1=cs_n io_17_31_0=enc_dec io_16_31_0=start io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=cs_n io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=enc_dec io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=cs_n io_13_31_1=mosi io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=cs_n io_13_31_1=enc_dec io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=enc_dec io_13_31_1=mosi io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=rst_n io_16_31_0=enc_dec io_13_31_1=cs_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=mosi io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=start io_17_31_0=mosi io_16_31_0=rst_n io_13_31_1=enc_dec io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=mosi io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=enc_dec | RB pre=xxxxxxxx post=xxxxxxxx | CR pre=x0000000 post=X0000000
io_19_31_1=start io_17_31_0=mosi io_16_31_0=cs_n io_13_31_1=enc_dec io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=mosi io_16_31_0=enc_dec io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=ff080101 post=fe100203 | CR pre=e00bf10b post=c017e217
io_19_31_1=start io_17_31_0=mosi io_16_31_0=enc_dec io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=rst_n io_13_31_1=mosi io_18_31_1=enc_dec | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=rst_n io_13_31_1=enc_dec io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=mosi io_13_31_1=rst_n io_18_31_1=enc_dec | RB pre=2ce1ace1 post=59c359c3 | CR pre=XXXXXXXX post=XXXXXXXX
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=mosi io_13_31_1=enc_dec io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=enc_dec io_13_31_1=rst_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=01094000 post=02128000
io_19_31_1=start io_17_31_0=cs_n io_16_31_0=enc_dec io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=mosi io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=mosi io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=2ce1ace1 post=59c359c3 | CR pre=e1ace1ff post=c359c3ff
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=mosi io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=mosi | RB pre=80000000 post=00000000 | CR pre=0000003f post=0000007f
io_19_31_1=start io_17_31_0=enc_dec io_16_31_0=cs_n io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=cs_n io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=mosi io_13_31_1=start io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=cs_n io_13_31_1=mosi io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=cs_n io_13_31_1=start io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=start io_13_31_1=mosi io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=rst_n io_16_31_0=start io_13_31_1=cs_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=rst_n io_13_31_1=start io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=start | RB pre=xxxxxxxx post=xxxxxxxx | CR pre=xxxxxxxx post=xxxxxxxx
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=cs_n io_13_31_1=start io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=start io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=ff080101 post=fe100203 | CR pre=e00bf10b post=c017e217
io_19_31_1=enc_dec io_17_31_0=mosi io_16_31_0=start io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=rst_n io_13_31_1=mosi io_18_31_1=start | RB pre=00000000 post=00000000 | CR pre=X0000000 post=X0000000
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=rst_n io_13_31_1=start io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=mosi io_13_31_1=rst_n io_18_31_1=start | RB pre=2ce1ace1 post=59c359c3 | CR pre=xxxxxxxx post=xxxxxxxx
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=mosi io_13_31_1=start io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=start io_13_31_1=rst_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=01094000 post=02128000
io_19_31_1=enc_dec io_17_31_0=cs_n io_16_31_0=start io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=rst_n io_13_31_1=mosi io_18_31_1=cs_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=rst_n io_13_31_1=cs_n io_18_31_1=mosi | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=mosi io_13_31_1=rst_n io_18_31_1=cs_n | RB pre=2ce1ace1 post=59c359c3 | CR pre=30d668ff post=61acd1ff
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=mosi io_13_31_1=cs_n io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=00000000 post=00000000
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=cs_n io_13_31_1=rst_n io_18_31_1=mosi | RB pre=80000000 post=00000000 | CR pre=4250001f post=84a0003f
io_19_31_1=enc_dec io_17_31_0=start io_16_31_0=cs_n io_13_31_1=mosi io_18_31_1=rst_n | RB pre=00000000 post=00000000 | CR pre=40000000 post=80000000
